iter	Passed	Remaining
398	338077	85578
399	338937	84734
400	339816	83894
401	340676	83050
402	341538	82206
403	342416	81366
404	343290	80524
405	344147	79679
406	345004	78833
407	345862	77988
408	346717	77142
409	347602	76303
410	348458	75457
411	349304	74608
412	350153	73761
413	351001	72913
414	351878	72071
415	352740	71226
416	353612	70383
417	354473	69537
418	355336	68692
419	356204	67848
420	357084	67006
421	357981	66167
422	358839	65320
423	359740	64481
424	360634	63641
425	361527	62800
426	362423	61959
427	363285	61113
428	364131	60264
429	364980	59415
430	365845	58569
431	366718	57724
432	367587	56878
433	368484	56036
434	369332	55187
435	370198	54341
436	371056	53493
437	371917	52645
438	372775	51797
439	373644	50951
440	374519	50105
441	375379	49257
442	376272	48414
443	377166	47570
444	378078	46728
445	378980	45885
446	379843	45037
447	380696	44187
448	381564	43340
449	382411	42490
450	383262	41640
451	384116	40791
452	384964	39941
453	385822	39092
454	386678	38242
455	387549	37395
456	388416	36546
457	389272	35697
458	390080	34843
459	390925	33993
460	391763	33142
461	392604	32292
462	393465	31443
463	394321	30593
464	395186	29745
465	396035	28895
466	396864	28043
467	397723	27194
468	398574	26345
469	399406	25494
470	400257	24644
471	401107	23794
472	401947	22944
473	402798	22094
474	403656	21245
475	404516	20395
476	405380	19546
477	406250	18697
478	407105	17848
479	407965	16998
480	408832	16149
481	409711	15300
482	410573	14450
483	411444	13601
484	412295	12751
485	413137	11901
486	414015	11051
487	414875	10201
488	415744	9352
489	416602	8502
490	417452	7651
491	418312	6801
492	419182	5951
493	420020	5101
494	420873	4251
495	421714	3400
496	422569	2550
497	423436	1700
498	424284	850
499	425120	0
