iter	Passed	Remaining
405	6638	9712
406	6648	9686
407	6667	9674
408	6684	9659
409	6697	9638
410	6718	9627
411	6733	9610
412	6764	9614
413	6784	9602
414	6797	9581
415	6813	9565
416	6826	9544
417	6836	9518
418	6849	9498
419	6872	9490
420	6886	9470
421	6901	9453
422	6914	9431
423	6930	9415
424	6945	9396
425	6963	9382
426	6978	9365
427	6995	9349
428	7025	9350
429	7045	9339
430	7062	9323
431	7086	9317
432	7114	9316
433	7143	9316
434	7154	9292
435	7162	9264
436	7173	9242
437	7185	9220
438	7208	9211
439	7222	9192
440	7236	9172
441	7249	9151
442	7260	9129
443	7274	9109
444	7287	9088
445	7301	9069
446	7313	9047
447	7330	9032
448	7344	9013
449	7358	8993
450	7369	8970
451	7378	8945
452	7390	8924
453	7403	8904
454	7416	8883
455	7428	8861
456	7439	8839
457	7449	8815
458	7460	8793
459	7472	8772
460	7483	8749
461	7494	8727
462	7505	8705
463	7514	8681
464	7535	8669
465	7546	8647
466	7557	8625
467	7568	8603
468	7579	8581
469	7589	8557
470	7600	8536
471	7609	8512
472	7620	8489
473	7630	8467
474	7638	8443
475	7649	8420
476	7659	8398
477	7673	8379
478	7684	8358
479	7696	8337
480	7709	8318
481	7720	8296
482	7730	8275
483	7742	8254
484	7752	8232
485	7763	8210
486	7774	8189
487	7785	8168
488	7796	8146
489	7806	8125
490	7818	8105
491	7832	8087
492	7844	8067
493	7853	8044
494	7866	8025
495	7878	8005
496	7895	7990
497	7912	7975
498	7944	7976
499	7959	7959
500	7968	7936
501	7979	7916
502	7994	7899
503	8005	7877
504	8014	7855
505	8027	7836
506	8035	7814
507	8047	7793
508	8055	7771
509	8065	7748
510	8074	7726
511	8084	7705
512	8094	7684
513	8102	7660
514	8111	7639
515	8120	7617
516	8128	7594
517	8139	7573
518	8148	7552
519	8159	7531
520	8169	7510
521	8179	7490
522	8189	7468
523	8198	7447
524	8212	7430
525	8220	7408
526	8230	7387
527	8241	7367
528	8250	7346
529	8261	7325
530	8272	7306
531	8281	7284
532	8290	7263
533	8300	7243
534	8309	7222
535	8318	7201
536	8328	7181
537	8341	7163
538	8352	7143
539	8361	7122
540	8371	7102
541	8380	7081
542	8390	7061
543	8402	7043
544	8412	7022
545	8422	7003
546	8432	6983
547	8442	6963
548	8453	6944
549	8461	6923
550	8473	6904
551	8481	6883
552	8490	6863
553	8501	6844
554	8510	6823
555	8519	6803
556	8528	6783
557	8538	6763
558	8548	6744
559	8558	6724
560	8569	6705
561	8577	6685
562	8587	6665
563	8596	6645
564	8605	6625
565	8616	6606
566	8625	6586
567	8636	6568
568	8646	6549
569	8657	6530
570	8672	6515
571	8683	6497
572	8695	6480
573	8708	6463
574	8723	6447
575	8749	6440
576	8783	6439
577	8791	6418
578	8803	6400
579	8814	6383
580	8823	6363
581	8833	6344
582	8846	6327
583	8854	6307
584	8864	6288
585	8877	6271
586	8886	6252
587	8900	6236
588	8911	6218
589	8926	6203
590	8938	6185
591	8949	6167
592	8960	6149
593	8967	6129
594	8976	6110
595	8985	6090
596	8996	6072
597	9004	6053
598	9016	6036
599	9028	6019
600	9046	6005
601	9061	5990
602	9070	5971
603	9082	5954
604	9091	5936
605	9103	5918
606	9118	5903
607	9131	5887
608	9142	5869
609	9154	5852
610	9164	5834
611	9177	5818
612	9186	5799
613	9197	5782
614	9210	5765
615	9218	5746
616	9229	5728
617	9241	5712
618	9251	5694
619	9261	5676
620	9268	5656
621	9282	5641
622	9293	5624
623	9302	5605
624	9314	5588
625	9324	5570
626	9333	5552
627	9343	5534
628	9352	5516
629	9363	5499
630	9373	5481
631	9382	5463
632	9394	5446
633	9403	5428
634	9412	5410
635	9422	5392
636	9431	5374
637	9443	5358
638	9454	5341
639	9462	5322
640	9472	5305
641	9481	5287
642	9492	5270
643	9502	5252
644	9512	5235
645	9522	5218
646	9531	5200
647	9553	5189
648	9564	5172
649	9574	5155
650	9582	5137
651	9593	5120
652	9602	5102
653	9611	5084
654	9620	5067
655	9629	5049
656	9647	5036
657	9660	5021
658	9670	5003
659	9679	4986
660	9690	4969
661	9701	4953
662	9711	4936
663	9725	4921
664	9741	4907
665	9769	4899
666	9791	4888
667	9802	4872
668	9809	4853
669	9823	4838
670	9833	4821
671	9843	4804
672	9854	4788
673	9864	4771
674	9874	4754
675	9885	4738
676	9894	4720
677	9903	4703
678	9913	4686
679	9924	4670
680	9936	4654
681	9945	4637
682	9955	4620
683	9965	4604
684	9975	4587
685	9987	4571
686	9998	4555
687	10006	4537
688	10013	4519
689	10023	4503
690	10033	4486
691	10042	4469
692	10051	4452
693	10060	4435
694	10070	4419
695	10080	4403
696	10088	4385
697	10099	4369
698	10106	4352
699	10118	4336
700	10132	4321
701	10140	4304
702	10150	4288
703	10157	4270
704	10168	4254
705	10177	4238
706	10185	4221
707	10195	4204
708	10205	4188
709	10213	4171
710	10223	4155
711	10233	4139
712	10244	4123
713	10252	4106
714	10260	4090
715	10269	4073
716	10278	4056
717	10289	4041
718	10299	4025
719	10307	4008
720	10317	3992
721	10326	3976
722	10336	3960
723	10344	3943
724	10354	3927
725	10363	3911
726	10374	3895
727	10383	3879
728	10393	3863
729	10403	3847
730	10412	3831
731	10420	3815
732	10431	3799
733	10439	3783
734	10448	3767
735	10458	3751
736	10468	3735
737	10479	3720
738	10500	3708
739	10510	3692
740	10519	3676
741	10528	3660
742	10536	3644
743	10545	3628
744	10554	3612
745	10564	3597
746	10573	3581
747	10582	3565
748	10589	3548
749	10597	3532
750	10605	3516
751	10614	3500
752	10626	3485
753	10636	3470
754	10647	3455
755	10661	3440
756	10674	3426
757	10686	3411
758	10696	3396
759	10709	3381
760	10718	3366
761	10727	3350
762	10736	3334
763	10744	3318
764	10754	3303
765	10763	3288
766	10773	3272
767	10784	3257
768	10806	3246
769	10817	3231
770	10830	3216
771	10841	3201
772	10854	3187
773	10867	3173
774	10879	3158
775	10889	3143
776	10899	3128
777	10908	3112
778	10924	3099
779	10934	3084
780	10946	3069
781	10959	3055
782	10982	3043
783	10993	3028
784	11003	3013
785	11011	2998
786	11020	2982
787	11031	2967
788	11047	2954
789	11062	2940
790	11083	2928
791	11102	2915
792	11113	2901
793	11123	2885
794	11133	2870
795	11142	2855
796	11151	2840
797	11159	2824
798	11167	2809
799	11175	2793
800	11183	2778
801	11192	2763
802	11199	2747
803	11207	2732
804	11215	2716
805	11225	2701
806	11232	2686
807	11245	2672
808	11260	2658
809	11272	2644
810	11282	2629
811	11292	2614
812	11301	2599
813	11315	2585
814	11326	2571
815	11335	2556
816	11343	2540
817	11352	2525
818	11361	2510
819	11373	2496
820	11384	2482
821	11392	2467
822	11404	2452
823	11412	2437
824	11420	2422
825	11430	2407
826	11440	2393
827	11449	2378
828	11457	2363
829	11466	2348
830	11475	2333
831	11484	2318
832	11495	2304
833	11508	2290
834	11518	2276
835	11528	2261
836	11537	2246
837	11549	2232
838	11557	2217
839	11565	2203
840	11575	2188
841	11586	2174
842	11595	2159
843	11602	2144
844	11610	2129
845	11618	2114
846	11626	2100
847	11635	2085
