iter	PrecisionAt:top=5	Logloss
125	0.3026785714	0.3088732651
126	0.3026785714	0.3088072409
127	0.3026785714	0.3086933011
128	0.3035714286	0.3086439256
129	0.3026785714	0.3086038312
130	0.3017857143	0.3085010716
131	0.3	0.3084015413
132	0.2982142857	0.3082393051
133	0.2991071429	0.3081399276
134	0.3008928571	0.308024663
135	0.3026785714	0.3079245858
136	0.3026785714	0.3078471497
137	0.3026785714	0.3077854057
138	0.3044642857	0.3077204434
139	0.3044642857	0.3076082765
140	0.30625	0.3075403746
141	0.3080357143	0.3074643384
142	0.3080357143	0.3073632248
143	0.3098214286	0.3072602188
144	0.3098214286	0.3071702378
145	0.3098214286	0.3071295923
146	0.3125	0.3071025882
147	0.3116071429	0.307022299
148	0.3107142857	0.3069358799
149	0.3125	0.3068441881
150	0.3133928571	0.3067637317
151	0.3133928571	0.3067126797
152	0.3151785714	0.3066349813
153	0.3133928571	0.3065407033
154	0.3133928571	0.3064560611
155	0.3169642857	0.3063783883
156	0.3196428571	0.3062822841
157	0.3214285714	0.3061908887
158	0.3205357143	0.306132891
159	0.3205357143	0.3060746611
160	0.3205357143	0.3060333536
161	0.3196428571	0.3060076541
162	0.3178571429	0.3058908832
163	0.3241071429	0.3057477525
164	0.3267857143	0.305666788
165	0.3267857143	0.3055657944
166	0.3294642857	0.3054774131
167	0.3294642857	0.3054071794
168	0.3294642857	0.3053458193
169	0.3294642857	0.3052921011
170	0.33125	0.3052155798
171	0.33125	0.3051549385
172	0.3330357143	0.3051169815
173	0.3330357143	0.3050271428
174	0.3321428571	0.3047221442
175	0.3321428571	0.3046427031
176	0.3321428571	0.3046118051
177	0.3348214286	0.3045635613
178	0.3348214286	0.3045311881
179	0.3375	0.3044002662
180	0.3383928571	0.304357672
181	0.3383928571	0.3042865692
182	0.3375	0.3041583221
183	0.3366071429	0.3040955123
184	0.3375	0.3039982469
185	0.3375	0.3039577804
186	0.3383928571	0.3038746854
187	0.3383928571	0.3036448441
188	0.3401785714	0.303563712
189	0.3410714286	0.3034884906
190	0.3419642857	0.3034507959
191	0.3428571429	0.3034135127
192	0.34375	0.3033167916
193	0.3428571429	0.3032569811
194	0.34375	0.3031454087
195	0.3455357143	0.3031370386
196	0.34375	0.3030994109
197	0.3428571429	0.303066745
198	0.34375	0.3030568557
199	0.3410714286	0.3030016545
200	0.3446428571	0.3027979948
201	0.3455357143	0.3027552926
202	0.3446428571	0.3026939573
203	0.3455357143	0.3025781905
204	0.3473214286	0.3025310823
205	0.3428571429	0.3024716252
206	0.3428571429	0.3023796756
207	0.3446428571	0.3021626931
208	0.34375	0.3020555596
209	0.3446428571	0.3020500103
210	0.3464285714	0.3019676166
